"jurisdiccion_de_residencia_id","jurisdiccion_de_residencia_nombre","tipo_de_parto_id","tipo_de_parto_nombre","sexo","sexo_nombre","edad_de_la_madre_grupos_id","edad_de_la_madre_grupos_nombre","semanas_de_gestacion_id","semanas_de_gestacion_nombre","instruccion_de_la_madre_id","instruccion_de_la_madre_nombre","Intervalos_de_peso_al_nacer_id","intervalos_de_peso_al_nacer_nombre","cantidad_nacimientos"
34,"Formosa",1,"Simple",2,"Mujer",4,"25 a 29",5,"32 a 36",3,"Primaria/C. EGB Completa",5,"2000 a 2499",3
2,"Ciudad Aut. de Buenos Aires",1,"Simple",1,"Varón",7,"40 a 44",6,"37 a 41",3,"Primaria/C. EGB Completa",6,"2500 a 2999",13
6,"Buenos Aires",1,"Simple",1,"Varón",5,"30 a 34",8,"Sin especificar",7,"Terciaria/Universitaria Comple",4,"1500 a 1999",1
82,"Santa Fe",1,"Simple",2,"Mujer",6,"35 a 39",6,"37 a 41",7,"Terciaria/Universitaria Comple",5,"2000 a 2499",30
74,"San Luis",1,"Simple",1,"Varón",6,"35 a 39",5,"32 a 36",5,"Secundaria/Polimodal Completa",6,"2500 a 2999",4
99,"Lugar no especificado",1,"Simple",2,"Mujer",3,"20 a 24",5,"32 a 36",3,"Primaria/C. EGB Completa",7,"3000 a 3499",1
66,"Salta",1,"Simple",1,"Varón",3,"20 a 24",6,"37 a 41",2,"Primaria/C. EGB Incompleta",7,"3000 a 3499",59
6,"Buenos Aires",2,"Múltiple",1,"Varón",2,"15 a 19",5,"32 a 36",5,"Secundaria/Polimodal Completa",3,"1000 a 1499",1
58,"Neuquén",1,"Simple",2,"Mujer",2,"15 a 19",6,"37 a 41",8,"Sin especificar",6,"2500 a 2999",2
62,"Río Negro",1,"Simple",2,"Mujer",3,"20 a 24",6,"37 a 41",3,"Primaria/C. EGB Completa",5,"2000 a 2499",1
6,"Buenos Aires",2,"Múltiple",2,"Mujer",5,"30 a 34",6,"37 a 41",3,"Primaria/C. EGB Completa",7,"3000 a 3499",3
54,"Misiones",1,"Simple",2,"Mujer",6,"35 a 39",6,"37 a 41",5,"Secundaria/Polimodal Completa",4,"1500 a 1999",1
90,"Tucumán",1,"Simple",2,"Mujer",4,"25 a 29",5,"32 a 36",3,"Primaria/C. EGB Completa",4,"1500 a 1999",4
78,"Santa Cruz",1,"Simple",1,"Varón",5,"30 a 34",5,"32 a 36",3,"Primaria/C. EGB Completa",6,"2500 a 2999",3
10,"Catamarca",1,"Simple",2,"Mujer",2,"15 a 19",7,"42 y más",4,"Secundaria/Polimodal Incomplet",7,"3000 a 3499",1
10,"Catamarca",1,"Simple",2,"Mujer",5,"30 a 34",8,"Sin especificar",7,"Terciaria/Universitaria Comple",7,"3000 a 3499",1
86,"Santiago del Estero",1,"Simple",2,"Mujer",2,"15 a 19",6,"37 a 41",6,"Terciaria/Universitaria Incomp",7,"3000 a 3499",10
22,"Chaco",1,"Simple",1,"Varón",3,"20 a 24",5,"32 a 36",5,"Secundaria/Polimodal Completa",7,"3000 a 3499",11
99,"Lugar no especificado",1,"Simple",2,"Mujer",4,"25 a 29",6,"37 a 41",2,"Primaria/C. EGB Incompleta",7,"3000 a 3499",1
46,"La Rioja",2,"Múltiple",2,"Mujer",4,"25 a 29",5,"32 a 36",5,"Secundaria/Polimodal Completa",4,"1500 a 1999",2
66,"Salta",1,"Simple",1,"Varón",4,"25 a 29",6,"37 a 41",4,"Secundaria/Polimodal Incomplet",8,"De 3500 y más",228
