mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2022-10,Buenos Aires,Buenos Aires,6822,16292,previaje 3
2022-10,Buenos Aires,Catamarca,674,1321,previaje 3
2022-10,Buenos Aires,Chaco,76,135,previaje 3
2022-10,Buenos Aires,Chubut,3898,8725,previaje 3
2022-10,Buenos Aires,Ciudad Autónoma de Buenos Aires,1849,3667,previaje 3
2022-10,Buenos Aires,Córdoba,3424,7460,previaje 3
2022-10,Buenos Aires,Corrientes,474,1024,previaje 3
2022-10,Buenos Aires,Entre Ríos,2046,4589,previaje 3
2022-10,Buenos Aires,Formosa,60,111,previaje 3
2022-10,Buenos Aires,Jujuy,2404,5355,previaje 3
2022-10,Buenos Aires,La Pampa,86,204,previaje 3
2022-10,Buenos Aires,La Rioja,801,1452,previaje 3
2022-10,Buenos Aires,Mendoza,4197,8872,previaje 3
2022-10,Buenos Aires,Misiones,5536,13544,previaje 3
2022-10,Buenos Aires,Neuquén,1809,4270,previaje 3
2022-10,Buenos Aires,Río Negro,5163,11264,previaje 3
2022-10,Buenos Aires,Salta,5251,10793,previaje 3
2022-10,Buenos Aires,San Juan,623,1085,previaje 3
2022-10,Buenos Aires,San Luis,1280,2544,previaje 3
2022-10,Buenos Aires,Santa Cruz,3863,8308,previaje 3
2022-10,Buenos Aires,Santa Fe,403,836,previaje 3
2022-10,Buenos Aires,Santiago del Estero,976,1919,previaje 3
2022-10,Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3244,6927,previaje 3
2022-10,Buenos Aires,Tucumán,1206,2317,previaje 3
2022-10,Catamarca,Buenos Aires,39,83,previaje 3
2022-10,Catamarca,Catamarca,44,68,previaje 3
2022-10,Catamarca,Chubut,5,18,previaje 3
2022-10,Catamarca,Ciudad Autónoma de Buenos Aires,118,197,previaje 3
2022-10,Catamarca,Córdoba,53,102,previaje 3
2022-10,Catamarca,Jujuy,9,22,previaje 3
2022-10,Catamarca,La Rioja,3,7,previaje 3
2022-10,Catamarca,Mendoza,14,39,previaje 3
2022-10,Catamarca,Misiones,10,20,previaje 3
2022-10,Catamarca,Río Negro,12,32,previaje 3
2022-10,Catamarca,Salta,10,21,previaje 3
2022-10,Catamarca,San Juan,19,38,previaje 3
2022-10,Catamarca,Santa Fe,5,13,previaje 3
2022-10,Catamarca,Santiago del Estero,14,42,previaje 3
2022-10,Catamarca,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,17,previaje 3
2022-10,Catamarca,Tucumán,15,38,previaje 3
2022-10,Chaco,Buenos Aires,114,219,previaje 3
2022-10,Chaco,Catamarca,5,10,previaje 3
2022-10,Chaco,Chaco,23,27,previaje 3
2022-10,Chaco,Chubut,99,250,previaje 3
2022-10,Chaco,Ciudad Autónoma de Buenos Aires,438,918,previaje 3
2022-10,Chaco,Córdoba,126,287,previaje 3
2022-10,Chaco,Corrientes,28,73,previaje 3
2022-10,Chaco,Entre Ríos,11,32,previaje 3
2022-10,Chaco,Jujuy,34,82,previaje 3
2022-10,Chaco,La Pampa,3,8,previaje 3
2022-10,Chaco,Mendoza,220,908,previaje 3
2022-10,Chaco,Misiones,52,131,previaje 3
2022-10,Chaco,Neuquén,34,139,previaje 3
2022-10,Chaco,Río Negro,136,326,previaje 3
2022-10,Chaco,Salta,96,219,previaje 3
2022-10,Chaco,San Juan,6,11,previaje 3
2022-10,Chaco,San Luis,27,44,previaje 3
2022-10,Chaco,Santa Cruz,107,211,previaje 3
2022-10,Chaco,Santa Fe,16,32,previaje 3
2022-10,Chaco,Santiago del Estero,25,45,previaje 3
2022-10,Chaco,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",199,446,previaje 3
2022-10,Chaco,Tucumán,9,23,previaje 3
2022-10,Chubut,Buenos Aires,226,411,previaje 3
2022-10,Chubut,Catamarca,5,11,previaje 3
2022-10,Chubut,Chaco,7,11,previaje 3
2022-10,Chubut,Chubut,346,784,previaje 3
2022-10,Chubut,Ciudad Autónoma de Buenos Aires,689,1169,previaje 3
2022-10,Chubut,Córdoba,174,293,previaje 3
2022-10,Chubut,Corrientes,8,10,previaje 3
2022-10,Chubut,Entre Ríos,46,90,previaje 3
2022-10,Chubut,Jujuy,48,82,previaje 3
2022-10,Chubut,La Pampa,11,23,previaje 3
2022-10,Chubut,La Rioja,16,21,previaje 3
2022-10,Chubut,Mendoza,71,135,previaje 3
2022-10,Chubut,Misiones,118,237,previaje 3
2022-10,Chubut,Neuquén,53,135,previaje 3
2022-10,Chubut,Río Negro,251,432,previaje 3
2022-10,Chubut,Salta,141,209,previaje 3
2022-10,Chubut,San Juan,29,61,previaje 3
2022-10,Chubut,San Luis,33,50,previaje 3
2022-10,Chubut,Santa Cruz,93,204,previaje 3
2022-10,Chubut,Santa Fe,19,31,previaje 3
2022-10,Chubut,Santiago del Estero,14,28,previaje 3
2022-10,Chubut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",96,169,previaje 3
2022-10,Chubut,Tucumán,20,28,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Buenos Aires,4482,9841,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Catamarca,465,866,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Chaco,111,158,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Chubut,2686,5961,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,572,1133,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Córdoba,2128,3954,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Corrientes,414,806,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Entre Ríos,969,2148,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Formosa,50,81,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Jujuy,1825,3667,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,La Pampa,59,101,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,La Rioja,403,792,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Mendoza,3162,6303,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Misiones,3617,9004,previaje 3
